
Alhambra, California Code of Ordinances


TITLE I:  GENERAL PROVISIONS
needing the reasonable accommodation is disabled/handicapped pursuant to the
Fair Housing Laws;



         (c)   The specific reason the requested accommodation is
necessary to make particular housing available to the disabled individual(s);
and



         (d)   Verification by the applicant that the property is
the primary residence of the person for whom reasonable accommodation is
requested.



         (e)   No filing fee for an original application is
required. For appeals, an administrative appeal filing fee must be paid to
process the appeal.



      (4)   A reasonable accommodation application requires a
ten-day written notice to all adjacent property owners within a 100-foot
radius of the subject property so that their input may be received.



   (E)   Decision on Application.



      (1)   The Director shall have the authority to consider and
act on any application for a reasonable accommodation. The Director shall
issue a written determination within 30 days of the date of receipt of a
completed application and may (1) grant the accommodation request (provided
the Director can reasonably make the findings listed in division (F) of this
§ 23.59.020), (2) grant the accommodation request subject to specified
nondiscriminatory conditions (provided the Director can reasonably make the
findings listed in division (F) of this § 23.59.020), (3) deny the request,
or (4) may refer the matter to the Planning Commission, which shall render a
decision on the application in the manner set forth for appeals herein.



      (2)   Notice of the Director’s meeting to review and act on
the application shall be made in writing, ten calendar days prior to the
meeting and shall be mailed first class and postage pre-paid to the applicant
and the abutting property owners.



      (3)   The notice of determination shall be sent to the
applicant by first class mail. All written determinations shall give notice
of the right to appeal.



      (4)   If necessary to reach a determination on any request for
reasonable accommodation, the Director may request further information from
the applicant consistent with this section, specifying in detail what
information is required. In the event a request for further information is
made, the 30-day period to issue a written determination shall be stayed
until the applicant responds to the satisfaction of the Director to the
request.



      (5)   If, based upon all of the evidence presented to the
Director, the findings required in this section may reasonably be made, the
Director, shall grant the requested reasonable accommodation.



      (6)   A reasonable accommodation that is granted pursuant to
this section shall not require the approval of any variance as to the
reasonable accommodation.



      (7)   The reasonable accommodation shall be subject to any
reasonable conditions imposed on the approval that are consistent with the
purposes of this section to further fair housing. Such conditions may
generally include, but are not limited to the following restrictions:



         (a)   That the reasonable accommodation shall only be
applicable to particular individual(s); and



         (b)   That the reasonable accommodation shall only be
applicable to the specific use for which application is made; and



         (c)   That any change in use or circumstances which
negates the basis for the granting of the approval shall render the
reasonable accommodation null and void and/or revocable by the city; and



         (d)   That the reasonable accommodation involving an
exterior physical improvement or structure shall be designed to be
substantially similar to the architectural character, colors, and texture of
materials in the neighborhood or planned unit development in which it is
situated; and



         (e)   That the reasonable accommodation is subject to
any and all Building Code Permit and inspection requirements of the city.



   (F)   Required Findings. The following findings must be made in
order to approve a request for reasonable accommodation:



      (1)   The parcel and/or housing, which is the subject of the
request for reasonable accommodation, will be occupied as the primary
residence by an individual protected under the Fair Housing Laws.



      (2)   The request for reasonable accommodation is necessary to
make specific housing available to one (1) or more individuals protected
under the Fair Housing Laws.



      (3)   The requested reasonable accommodation will not impose
an undue financial or administrative burden on the city.



      (4)   The requested accommodation will not require a
fundamental alteration of the zoning or building laws, policies and/or other
procedures of the city.



   (G)   Appeals.



      (1)   Within ten days of the date the Director issues a
written determination, any person aggrieved or affected by a decision on an
application requesting the accommodation may appeal such determination in
writing to the Planning Commission.



      (2)   If an individual needs assistance in filing an appeal on
an adverse decision, the jurisdiction will provide assistance to ensure that
the appeals process is accessible.



      (3)   All appeals shall contain a statement of the grounds for
the appeal.



      (4)   No such appeal shall be accepted unless there is, paid
contemporaneously with the filing of such letter, an Reasonable Accommodation
Permit Appeal processing fee in a sum to be set by resolution of the City
Council. Upon receipt of a timely filed appeal, together with the filing and
processing fee, the staff shall set the matter for a de novo hearing before
the Planning Commission.



      (5)   The Planning Commission shall hear the matter and render
a determination as soon as reasonably practicable. All determinations shall
address and be based upon the same findings required to be made in the
original determination from which the appeal is taken.



(Ord. 4617, passed 5-28-13; Am. Ord. 4735, passed 5-14-18)



CHAPTER 23.60:  TEMPORARY USE PERMITS



Section



   23.60.010   Purpose



   23.60.020   Permitted uses



   23.60.030   Required permits



   23.60.040   Findings



   23.60.050   Conditions of approval



   23.60.060   Enforcement



   23.60.070   Revocation



§ 23.60.010  PURPOSE.



   The temporary use permit is intended to allow for the short-term
placement of activities in temporary facilities or outside of buildings.
These activities shall be regulated so as to avoid in-compatibility between
such uses and surrounding areas.



('86 Code, § 23.60.010) (Ord. 4110, passed  - - )



§ 23.60.020  PERMITTED USES.



   A temporary use permit may be issued by the Director of Community
Development for the following uses:



   (A)   Real estate sales offices within approved development projects;



   (B)   Christmas tree sale lots; however, a permit shall not be
required when such sales are in con-junction with an established commercial
business holding a valid city business license, provided such activity shall
be permitted for a period not to exceed 30 consecutive calendar days;



   (C)   Other seasonal products sales, such as pumpkins and fireworks,
when the latter is in compliance with § 19.02.260 of this code;



   (D)   Circuses and carnivals, subject to com-pliance with Chapter
5.80 of this Code;



   (E)   Temporary outdoor display/sales of merchandise in any
commercial zone, provided there shall be no more than six such displays/sales
in any calendar year and are not conducted for a period of more than four
consecutive days, that such merchan-dise is customarily sold on the premises,
and that such premises are utilized for a permanently established business;



   (F)   Fairs, festivals and concerts, when not held within premises
designed to accommodate such events, such as auditoriums, stadiums or other
public assembly facilities;



   (G)   Farmers' markets and swap meets;



   (H)   On and off site contractors' construction yards;



   (I)   Temporary large-scale promotional balloons (e.g., roof mounted
hot air balloons) in any zone, provided there shall be no more than four such
pro-motions in any calendar year, that such promotions are not conducted for
a period of more than seven consecutive days, that such promotions are
related to merchandise or services which are customarily avail-able on the
premises, and that such premises are utilized for a permanently established
business;



   (J)   Temporary large-scale promotional balloons (e.g., roof mounted
hot air balloons) in the AC Automobile Commercial overlay zone and the
Commercial Planned Development zone, which shall meet the following standards:



      (1)   That there shall be no more than one such promotion in
any 90-day period;



      (2)   That such promotion is conducted for a period of not
more than 45 consecutive days;



      (3)   That such promotion is related to merchandise or
services customarily available on the premises;



      (4)   That such premises are utilized for a permanently
established vehicle sales business on premises not less than 20,000 square
feet in lot area; and



      (5)   That the large scale promotional balloons are subject to
the approval of the Director of Community Development.



   (K)   Similar temporary uses which, in the opinion of the Director,
are compatible with the zone and surrounding land uses.



('86 Code, § 23.60.020) (Ord. 4110, passed  - - ; Am. Ord. 4285, passed
2-27-95; Am. Ord. 4307, passed 6-26-96; Am. Ord. 4735, passed 5-14-18)



§ 23.60.030  REQUIRED PERMITS.



   A temporary use permit approved by the Director shall be required for
all uses listed in this chapter, issued prior to the commencement of the use.
A public hearing shall not be required for the issuance of a temporary use
permit. Applications for the permits shall be secured and filed with the
Department of Community Development pursuant to Chapter 23.80 of this time. A
permit shall not be required for events which occur in theaters, meeting
halls or other permanent public assembly facilities. Temporary uses may be
subject to additional permits, other departmental approvals and licenses and
inspec-tions as required by any applicable laws or regulations.



('86 Code, § 23.60.030) (Ord. 4110, passed  - - ; Am. Ord. 4735, passed
5-14-18)  Penalty, see § 1.12.010



§ 23.60.040  FINDINGS.



   The Director may approve a temporary use permit application only when
all of the following findings of facts can be made in a positive manner:



   (A)   That the operation of the requested use at the location
proposed and within the time period specified will not jeopardize, endanger
or otherwise constitute a menace to the public health, safety or general
welfare;



   (B)   That the proposed site is adequate in size and shape to
accommodate the temporary use;



   (C)   That the proposed safe is adequately served by streets or
highways having sufficient width and improvements to accommodate the kind and
quantity of traffic that such temporary use will or could reasonably generate;



   (D)   That adequate temporary parking to accommodate vehicular
traffic to be generated by such use will be available either on-site or at
alternate locations acceptable to the Director;



   (E)   That the use would not jeopardize the public peace, safety or
general welfare, or be injurious or detrimental to properties adjacent to, or
in the vicinity of, the proposed location of the activity.



('86 Code, § 23.60.040) (Ord. 4110, passed  - - )



§ 23.60.050  CONDITIONS OF APPROVAL.



   In approving an application for a temporary use permit, the Director
may impose such conditions as are deemed necessary to insure that the permit
will be in accord with the findings required by § 23.60.040. These
conditions may involve any pertinent factors affecting the operation of the
temporary use, and may include but are not limited to:



   (A)   Provision of temporary parking facilities, including vehicular
access and egress;



   (B)   Regulation of nuisance factors such as, but not limited to,
the prevention of glare or direct illumination of adjacent properties, noise,
vibrations, smoke, dust, dirt, odors, gases, and heat;



   (C)   Regulation of temporary buildings, struc-tures and facilities,
including placement, height and size, location of equipment and open spaces,
including buffer areas and other yards;



   (D)   Provision of sanitary and medical facilities;



   (E)   Provision of solid waste collection and disposal;



   (F)   Provision of security and safety measures;



   (G)   Regulation of signs;



   (H)   Regulation of operating hours and days, including limitation
of the duration of the temporary use to a shorter time period than that
requested;



   (I)   Submission of a performance bond or other surety devices to
ensure that any temporary facilities or structures used for such proposed
temporary use will be removed from the site within a reasonable time
following the event and that the property will be restored to its former
condition;



   (J)   Submission of a site plan indicating any information required
by this chapter;



   (K)   Requirement that the approval of the temporary use permit is
contingent upon compliance with applicable provisions of other ordinances;



   (L)   Such other conditions which will ensure the operation of the
proposed temporary use in an orderly and efficient manner and in accord with
the intent and purpose of this chapter.



('86 Code, § 23.60.050) (Ord. 4110, passed  - - ) 



§ 23.60.060  ENFORCEMENT.



   The Department of Community Development shall be responsible for
monitoring and enforcing the conditions of approval and standards imposed on
all temporary use permits granted by the city and this title. Any use which
is established, operated erected, moved, altered, enlarged or maintained
contrary to the provisions of this title or any condition of approval, is
hereby declared to be unlawful and shall be subject to the remedies and
penalties set forth in Chapter 1.12 of this code, and/or revocation
pro-cedures initiated pursuant to § 23.60.070 below.



('86 Code, § 23.60.060) (Ord. 4110, passed  - - ; Am. Ord. 4735, passed
5-14-18)  Penalty, see § 1.12.010



§ 23.60.070  REVOCATION.



   A temporary use permit may be revoked if the Director finds that one or
more of the following conditions exists:



   (A)   Circumstances have changed to such a degree that one or more
of the findings of fact contained in § 23.60.040 can no longer be made in a
positive manner;



   (B)   The temporary use permit was obtained in a fraudulent manner;



   (C)   One or more conditions of the temporary use permit have not
been complied with.



('86 Code, § 23.60.070) (Ord. 4110, passed  - - )



CHAPTER 23.61:  OUTDOOR DINING STANDARDS



Section



   23.61.010   Purpose



   23.61.020   General regulations and design and operating standards



   23.61.030   Permit procedure and requirements



   23.61.040   Findings



   23.61.050   Conditions of approval



   23.61.060   Enforcement



   23.61.070   Revocation



§ 23.61.010  PURPOSE.



   (A)   The purpose of this chapter is to establish standards for
outdoor dining in conjunction with permanent eating establishments, to
accommodate pedestrian circulation and create well-designed and attractive
outdoor dining areas.



   (B)   For the purposes of this chapter, outdoor dining refers to
dining areas located on the public sidewalk.



(Ord. 4285, passed 2-27-95)



§ 23.61.020  GENERAL REGULATIONS AND DESIGN AND OPERATING STANDARDS.



   An outdoor dining permit may be issued upon approval of the Director of
Public Works and the Director of Community Development, subject to the
approval of the City Manager or his or her designee, for outdoor dining areas.



   (A)   General regulations.



      (1)   Only establishments that provide full menu service, take
out food service and/or specialty food services (e.g., bakeries, ice cream,
cookies, yogurt) are permitted to have outdoor dining. Any outdoor dining
area must be accessory to an estab-lished restaurant or food service
establishment.



      (2)   Bars, cocktail lounges, temporary or mobile food service
providers or vendors are not eligible.



      (3)   Each applicant for outdoor dining shall provide a
certificate of insurance of general com-mercial liability insurance for an
amount as required by the City Risk Manager, naming the city as an additional
insured.



      (4)   An application fee shall be paid in the amount as
established by resolution of the City Council.



      (5)   The term of the permit shall be determined by the
Director of Community Development, subject to the approval of the City
Manager or his or her designee to provide periodic review of compliance with
the provisions of this chapter. The maximum term of an outdoor dining permit
shall not exceed 12 months.



   (B)   Design and operating standards.



      (1)   Any outdoor dining area shall not extend beyond the
boundaries of the street frontage of the business.



      (2)   A minimum five foot wide continuous walkway is required,
generally parallel and adjacent to the curb line, and entirely outside of the
outdoor dining area. Such path shall also have a minimum vertical clearance
of eight feet.



      (3)   If alcoholic beverages are served, the outdoor dining
area must be designated for combined food and beverage service. Food must be
purchased in order to purchase alcohol.



      (4)   All items placed on the public right-of-way shall be
removed each evening when the business closes, except as specifically
exempted in the outdoor dining permit.



      (5)   All outdoor dining areas shall be continuously
supervised by management or employees of the business to which they are
associated.



      (6)   All outside dining areas shall be main-tained in a clean
and safe manner.



      (7)   All items placed on the public right-of-way shall be
maintained in good repair and no item may be hazardous to pedestrian or
vehicular traffic, or interfere with safe line-of-sight distances as
determined by the Director of Public Works.



      (8)   All entrances and emergency exits shall be kept clear.



      (9)   No items may be placed on turf or other planted areas.



      (10)    There shall be no outdoor storage permitted in
conjunction with any outdoor dining area.



      (11)   (a)   The dining area shall be clearly delineated by
either potted plants or planters, or other partitioning material. The height
of any partitions shall not exceed 42 inches above the grade and the
materials of construction are subject to city approval.



         (b)   No barrier is required if the outdoor dining area
is limited toe one row of tables and chairs adjacent to the building and if
no alcoholic beverages are served outdoors.



      (12)    No additional signage is permitted in the outdoor
dining area. Umbrellas may not display signage or advertisements and must not
obstruct the view of pedestrians or the motoring public in such a way as to
create a safety hazard.



      (13)    Table lamps or candles are encouraged. Wired
electrical facilities are permitted outside the face of the building subject
to review and approval of the Building Division. Lighting on the building
shall not be glaring to pedestrians on the sidewalk or to vehicular traffic.



      (14)    The design, materials and colors used for chairs,
tables, lighting and other fixtures including umbrellas and awnings shall be
generally consistent both with the architectural style and colors used on the
building facade.



      (15)    No table, chair, umbrella, awning, planter or other
item shall extend or project out from the designated dining area.



      (16)    The outdoor dining area shall be kept clear of litter
and food scraps at all times. At the end of the business day, establishments
are required to clean (sweep and mop) the area in and around the outdoor
dining area.



      (17)    The hours of operation for the outdoor dining area
shall not exceed the hours of the associated food service establishment.



      (18)    Outdoor dining areas shall meet all applicable
requirements of the Los Angeles County Health Department.



      (19)    All outdoor dining areas shall be fully accessible to
the handicapped, in compliance with the state disability access regulations.



(Ord. 4285, passed 2-27-95; Am. Ord. 4735, passed 5-14-18)



§ 23.61.030  PERMIT PROCEDURE AND REQUIREMENTS.



   Applicants for outdoor dining areas shall submit the following
information for review by the Director of Community Development and the
Director of Public Works:



   (A)   A site plan, drawn to scale, indicating the following:



      (1)   The address of the site, the name of the associated
business, the name(s) of the fronting street(s), the dimensions of the
sidewalk area and a north arrow;



      (2)   The location, layout and size of the proposed dining
area;



      (3)   The layout of any tables, chairs, benches and any other
items that will be placed in the outdoor dining area;



      (4)   The number, size and location of existing trees, tree
wells, newspaper racks, poles, signs, bus benches, trash receptacles and any
other items on the sidewalk between the building and the curb;



      (5)   All curb markings, bus loading zones, driveways,
wheelchair ramps, meter boxes and utility boxes;



      (6)   The location and floor plan of the building, including
all doors and windows and any fixtures or building features which project
from the face of the building;



      (7)   The five foot wide continuous walkway as required in §
23.61.020(B)(2) above.



   (B)   The hours of operation.



   (C)   The method of delineation of the dining area.



   (D)   Name(s) and telephone numbers of the person(s) responsible for
the operation of the outdoor dining area.



(Ord. 4285, passed 2-27-95; Am. Ord. 4735, passed 5-14-18)



§ 23.61.040  FINDINGS.



   The City Manager or his or her designee, the Director of Community
Development and the Director of Public Works may approve an outdoor dining
permit application only when all of the following findings of facts can be
made in a positive manner:



   (A)   That the proposed outdoor dining area is conducted by an
existing food service establishment and is accessory thereto;



   (B)   That the proposed area to be designated for outdoor dining is
adequate in size and shape to accommodate the proposed use;



   (C)   That the proposed use will not adversely affect pedestrian or
vehicular traffic or the public health, safety or general welfare;



   (D)   That the proposed use would not have an adverse effect on
adjacent property or the permitted use thereof;



   (E)   The proposed use is compatible with the quality and character
of surrounding development and will visually enhance the appearance of the
community.



(Ord. 4285, passed 2-27-95; Am. Ord. 4735, passed 5-14-18)



§ 23.61.050  CONDITIONS OF APPROVAL.



   Conditions of approval may be imposed on any outdoor dining permit to
ensure that the proposed use will be in accord with the required standards
and findings of this chapter and to ensure the protection of the public
health, safety and welfare of the community. The permit shall not become
effective until all applicable conditions of approval have been met. All
conditions of approval shall be observed throughout the duration of the
permit.



(Ord. 4285, passed 2-27-95)



§ 23.61.060  ENFORCEMENT.



   The Department of Community Development shall be responsible for
monitoring and enforcing the conditions of approval and standards imposed on
all outdoor dining permits granted by the city and this title. Any use which
is established, operated, erected, moved, altered, enlarged, or maintained,
contrary to the provisions of this title or any condition of approval, is
hereby declared to be unlawful and shall be subject to the remedies and
penalties set forth in Chapter 1.12 of this code, and/or revocation
procedures initiated pursuant to § 23.61.070 below.



(Ord. 4285, passed 2-27-95; Am. Ord. 4735, passed 5-14-18)



§ 23.61.070  REVOCATION.



   A outdoor dining permit may be revoked by the Community Development
Director, subject to the approval of the City Manager or his or her designee,
if one or are of the following conditions exits;



   (A)   Circumstances have changed to such a degree that one or more
of the findings of fact contained in § 23.61.040 can no longer be made in a
positive manner;



   (B)   The outdoor dining permit was obtained in a fraudulent manner;



   (C)   One or more conditions of the outdoor dining permit have not
been complied with.



   (D)   The outdoor dining area is not being operated in accordance
with the approved plans or with the standards contained in § 23.61.020.



(Ord. 4285, passed 2-27-95; Am. Ord. 4735, passed 5-14-18)



CHAPTER 23.62:  PLANNED
DEVELOPMENT PERMITS



Section



   23.62.010   Purpose



   23.62.020   Applicability



   23.62.030   Application



   23.62.040   Review and approval



   23.62.050   Investigation



   23.62.060   Hearing and notice



   23.62.070   Findings



   23.62.080   Use of property before final decision



   23.62.085   Time limit



   23.62.090   Compliance with conditions of approval



   23.62.100   Enforcement



   23.62.110   Revocation



§ 23.62.010  PURPOSE.



   The planned development permit procedure is intended to insure
compliance with the provisions of Chapters 23.18, 23.20, 23.28 and 23.30 of
this title. At the time of application for a planned development permit, a
review of the location, design, configura-tion and impact of the proposed use
shall be conducted by comparing such use to established standards. This
review shall determine whether the permit should be approved by weighing the
public need for and the benefit to be derived from the use against the
impacts it may cause.



('86 Code, § 23.62.010) (Ord. 4110, passed  - - )



§ 23.62.020  APPLICABILITY.



   (A)   An RPD permit shall be required for all uses and structures
within the R-1, R-2 and R-3 zones, including all two-story, second-story or
multi-story additions; however, none shall be required for the following:



      (1)   An alteration or enlargement of an existing dwelling
unit which increases the floor area of the dwelling by not more than 50%,
except second story additions as noted above;



      (2) An alteration or enlargement of a garage or carport.



   (B)   A planned development permit shall be required under the
following circumstances for property within the CPD, CBD, IPD, PO, P and OS
zones:



      (1)   For a new building or structure; or



      (2)   For the enlargement of an existing building or
structure; or



      (3)   For the subdivision of an existing building or lease
space which results in the creation of two or more new tenant spaces; or



      (4)   For any application for certificate of occupancy for the
use of a building which has been vacant for more than six months, or for a
use to which a more restrictive parking standard applies.



('86 Code, § 23.62.020) (Ord. 4110, passed  - - )



§ 23.62.030  APPLICATION.



   Application for a planned development permit shall be made according to
Chapter 23.80 of this title.



('86 Code, § 23.62.030) (Ord. 4110, passed  - - )



§ 23.62.040  REVIEW AND APPROVAL.



   The responsibility for review and approval of each of the different
planned development permits shall be as follows:



   (A)   Residential Planned Development Permit (R-2 and R-3 zones).
This permit is subject to approval by the Planning Commission.



   (B)   Commercial and Industrial Planned Development Permit (CPD,
IPD, CBD, PO, P and OS zones).  A planned development permit related to the
use of real property shall be approved, modified or rejected by the Planning
Commission.



('86 Code, § 23.62.040) (Ord. 4110, passed  - - )



§ 23.62.050  INVESTIGATION.



   An investigation of facts for each planned development permit
application shall be made by the Director of Community Development to ensure
that the action on each application is consistent with the intent and purpose
of this chapter. A report on the investi-gation shall be prepared and made
available to members of the Planning Commission.



('86 Code, § 23.62.050) (Ord. 4110, passed  - - ; Am. Ord. 4735, passed
5-14-18)



§ 23.62.060  HEARING AND NOTICE.



   Upon receipt in proper form of a planned development permit
application, a public hearing shall be set and a notice of such hearing given
in a manner consistent with the requirements contained in Chapter 23.76 of
this title.



('86 Code, § 23.62.060) (Ord. 4110, passed  - - )



§ 23.62.070  FINDINGS.



   (A)   Following a public hearing on the planned development permit
application, the decision making body vested with the authority for final
determination shall approve the application only if the findings of fact
below can be made. The final decision making body shall impose specific
development conditions relating to both on and off site improvements (for
example, streets, traffic-control devices, street lighting, fire hydrants,
and the like) upon a planned development permit as it finds are reasonable
and necessary to carry out the purpose and requirements of this chapter.



      (1)   The proposed use is permitted under this title;



      (2)    With appropriate conditioning, the proposed use
complies with the purpose and intent of this title and the city's General
Plan;



      (3)   With appropriate conditioning, the proposed development
would be physically suitable for the lot or lots on which it is proposed:



      (4)   With appropriate conditioning, the proposed use would be
compatible with existing and future land uses within the general area in
which the proposed use is located;



      (5)   With appropriate conditioning, there would be adequate
provisions for water, sanitation and public utilities and services to insure
that the proposed use would not be detrimental to public health and safety;



      (6)   With appropriate conditioning, there would be adequate
provisions for public access to serve the subject proposal.



   (B)   In addition to those findings required in division (A) above,
the Planning Commission may approve the requested RPD permit only if the
following findings of fact can be made in a positive manner:



      (1)   The RPD permit and tentative map, if required, are
internally consistent and in conformance with the applicable density
designation as shown on the General Plan;



      (2)   The design of the proposed new unit(s) fulfills the
purpose of the respective zone;



      (3)   The design of the proposed new units fulfills the
requirements set forth in Chapter 23.44 of this title;



      (4)   The area of open space, landscaping, parking and other
communal facilities are consistent with the anticipated population of the
development.



('86 Code, § 23.62.070) (Ord. 4110, passed  - - )



§ 23.62.080  USE OF PROPERTY BEFORE FINAL DECISION.



   No permit shall be issued for any use involved in an application for
approval of a planned develop-ment permit, until and unless the same shall
become final.



('86 Code, § 23.62.080) (Ord. 4110, passed  - - )  Penalty, see § 1.12.010



§ 23.62.085  TIME LIMIT.



   Each approved planned development permit shall be valid for a period of
one year from the date of approval. The exact length of the approval period
shall be determined by the decision making body. The Planning Commission may
grant extensions to this time period not to exceed a total of one year. A
building permit or a certificate of occupancy shall be obtained within the
specified approval period. If the building permit or certificate of occupancy
is not obtained within this time period, the planned development permit shall
be void and a new planned development permit shall be required.



('86 Code, § 23.62.085) (Ord. 4110, passed  - - ; Am. Ord. 4249, passed  -
- )



§ 23.62.090  COMPLIANCE WITH CONDITIONS OF APPROVAL.



   To ensure continued compliance with the provisions of this title, each
approved planned develop-ment permit, other than residential, may contain a
condition requiring a specific time limit of operation.



('86 Code, § 23.62.090) (Ord. 4110, passed  - - )



§ 23.62.100  ENFORCEMENT.



   The Department of Community Development shall be responsible for
monitoring and enforcing the conditions of approval and standards imposed on
all planned development permits granted by the city and this title. Any use
which is established, operated, erected, moved, altered, enlarged or
maintained contrary to the provisions of this title or any condition of
approval, is hereby declared to be unlawful and shall be subject to the
remedies and penalties set forth in Chapter 1.12 of this code, and/or
revocation procedures initiated pursuant to § 23.62.110 below.



('86 Code, § 23.62.100) (Ord. 4110, passed  - - )



§ 23.62.110  REVOCATION.



   (A)   The Planning Commission, on its own motion, may, or upon
direction of the City Council, shall hold a public hearing upon the question
of revocation of a planned development permit granted pursuant to the
provisions of this chapter. Notice of such hearings shall be published once
in a newspaper of general circulation within the city and shall be served in
writing either in person or by registered mail on the owner of the property
for which such planned development permit was granted at least ten days prior
to such public hearing.



   (B)   A planned development permit shall be revoked if the Planning
Commission finds that one or more of the following conditions exists:



      (1)   The planned development permit was obtained in a
fraudulent manner;



      (2)    The use for which the planned development permit was
granted had ceased or was suspended for six or more successive calendar
months;



      (3)   One or more of the conditions of the planned development
permit have not been complied with.



('86 Code, § 23.62.110) (Ord. 4110, passed  - - )



CHAPTER 23.64:  DESIGN REVIEW
BOARD PROCEDURE



Section



   23.64.010   Purpose



   23.64.020   Adoption of design review



   23.64.030   Improvements subject to design review



   23.64.040   Application for design review



   23.64.050   Sign permit



   23.64.060   Final architectural plan approval



   23.64.065   Time limit



   23.64.070   Prohibition



§ 23.64.010  PURPOSE.



   The purpose of this chapter is to acknowledge the interdependence of
land values and aesthetics and to provide a method to implement various goals
and policies of the General Plan.



('86 Code, § 23.64.010) (Ord. 4110, passed  - - )



§ 23.64.020  ADOPTION OF DESIGN REVIEW.



   There is hereby adopted a plan of design review for all signs and
buildings, structures, and improvements in the downtown revitalization
district and for all new commercial and industrial development in the city.



('86 Code, § 23.64.020) (Ord. 4110, passed  - - )



§ 23.64.030  IMPROVEMENTS SUBJECT TO DESIGN REVIEW.



   (A)   The Design Review Board shall review the design of each
improvement in the downtown revitalization district for which a building
permit, license, certificate or other approval pursuant to this code is
required. The Board shall also review the design of all new commercial and
industrial buildings and uniform sign plans for multi-tenant buildings
throughout the city.



   (B)   The term “improvement” as used in this chapter shall be
liberally interpreted and shall include the exterior construction,
alteration, and repair of all signs and all buildings, structures, and
facilities permanently affixed to real property and appur-tenances thereto.
No improvements subject to design review shall hereafter be constructed,
located, repaired, altered or thereafter maintained except in accordance with
the architectural plan approved as provided in this chapter.



   (C)   This section shall not apply to usual and customary
maintenance and repairs that do not materially change the appearance of the
structure, except exterior painting, nor shall it apply to temporary repairs
certified as emergency by the city's building division.



('86 Code, § 23.64.030) (Ord. 4110, passed  - - )



§ 23.64.040  APPLICATION FOR DESIGN REVIEW.



   (A)   Any person proposing to construct any improvement subject to
design review shall prior to filing for the first required permit file an
application for a certificate of design approval with the Department of
Community Development and shall include the following which shall constitute
the “architectural plan”:



      (1)   Site plan showing:



         (a)   Roof plan of building,



         (b)   Location of existing and proposed structures,
including signs,



         (c)   Location of existing trees or natural attributes,



         (d)   Location of off-street parking and loading
facilities,



         (e)   Location of dimensions of street and highway
dedication,



         (f)   Location of points of entry and exits for vehicles
and internal circulation pattern,



         (g)   Location of walls and fences and the indication of
their height and material of con-struction,



         (h)   Exterior lighting standards and devices,



         (i)   Grading and slopes where they affect the
relationship of buildings;



      (2)   Architectural drawings, including:



         (a)   Plan to scale,



         (b)   Four elevations to include all sides of
development;



      (3)   Renderings indicating the wording, style, location,
size, shape, and type of illumination of each proposed permanent sign
together with a palette of proposed colors, materials and textures;



      (4)   Design plan and guidelines comprising the conceptual
scheme proposed to be adopted for all temporary signage relating to site uses;



      (5)   Preliminary landscaping plan;



      (6)   Site photographs;



      (7)   Color, materials, and texture palette;



      (8)   Other information required by the rules of the Design
Review Board or which the Board or Director of Community Development finds
necessary and convenient to a full and complete review of the project
pursuant to this chapter.



   (B)   Within 30 days after the architectural plan is filed with the
Department of Community Development, the Design Review Board shall consider
the architectural plan and approve, disapprove or conditionally approve the
plan in accordance with § 2.27.100 of this Code. The applicant may agree to
waive the 30-day review period.



   (C)   If the architectural plan is approved or conditionally
approved, the Design Review Board shall issue a certificate of design
approval with attached conditions.



('86 Code, § 23.64.040) (Ord. 4110, passed  - - ; Am. Ord. 4735, passed
5-14-18)  Penalty, see § 1.12.010



§ 23.64.050  SIGN PERMIT.



   Where the application is solely for a sign permit, items constituting
